Date,Total_Confirmed_Cases,Total_Fatalities,Total_Recovered_Cases,New_Confirmed_Cases,New_Fatalities,New_Recovered_Cases,Remaining_Confirmed_Cases
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,548,17,28,548,17,28,503
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,2,0,0,2,0,0,2
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,1,0,0,1,0,0,1
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
737446,0,0,0,0,0,0,0
